alpha,score,sharpe,sortino,drawdown
USO_Alpha_2,0.36144328997640357,0.29940395965809835,0.43352990046786344,-0.6279242134239826
SPY_Alpha_2,0.3526002661400981,0.23804085022275867,0.31013200520359263,-0.4521855850336104
SPY_Alpha_4,0.34812216684464,0.2123461055343903,0.2652191738006886,-0.38794009169774235
QQQ_Alpha_6,0.3395630953597402,0.17269531929600104,0.2543087839289879,-0.3526922251245219
GLD_Alpha_14,0.33943105145252667,0.14602226149846548,0.0958467158149949,-0.15910622630452653
DBC_Alpha_12,0.338504749509864,0.19154968472596925,0.1954584823723407,-0.3225088969740866
VNQ_Alpha_10,0.3379244357699711,0.20243769120659394,0.27872837224698216,-0.42223050795587036
VNQ_Alpha_9,0.33347994098442135,0.21621259926914355,0.2929024297903356,-0.46958609220112235
TLT_Alpha_3,0.32999168399231593,0.1669980382309467,0.2639725710475549,-0.38666434204776423
QQQ_Alpha_7,0.3273694510576908,0.1801964152210516,0.26356369755281844,-0.41259408098858463
VNQ_Alpha_11,0.32330597853193294,0.2012376898640805,0.27544351978640585,-0.4660738444987367
GLD_Alpha_17,0.31852691273712547,0.12629350504512749,0.042709729522295355,-0.14934469379204707
USO_Alpha_13,0.3117816246967934,0.2989340686745594,0.27195492732336646,-0.6312616032334678
TLT_Alpha_2,0.3094481083510445,0.1254613352621418,0.19943809112437297,-0.3352261769704137
EEM_Alpha_8,0.3045167648091962,0.2266223326810711,0.32165937049327,-0.6087665980373774
SPY_Alpha_3,0.2984218186093106,0.1571162524060347,0.19777797854727722,-0.412526919724288
GLD_Alpha_13,0.29271864155978533,0.09230958478439846,0.07384668323595392,-0.22119732441586737
DBC_Alpha_4,0.2891462135337361,0.20205910427119367,0.28879450188628064,-0.5943859291354185
EEM_Alpha_6,0.2889738379844402,0.21697196218787865,0.30599973805209146,-0.6320495610211289
EEM_Alpha_9,0.2866162237289108,0.16203462281166583,0.23567835378498903,-0.49633710510417406
SPY_Alpha_5,0.2816508654642875,0.19682119228732545,0.22860556865450435,-0.552197606823313
DBC_Alpha_3,0.2805780447062628,0.16764134157288105,0.24176326489563538,-0.5300249046386007
EFA_Alpha_9,0.27507042090797085,0.12339983444246422,0.17025040345451561,-0.41788211301789835
TLT_Alpha_9,0.27061215012718665,0.112453484647996,0.1648819297777715,-0.4127794088844774
TLT_Alpha_11,0.2654985757563215,0.16665669596979474,0.2498318914413424,-0.587045566879997
EFA_Alpha_6,0.2585702031530571,0.15375341191207176,0.20595008496958842,-0.5490539570088271
QQQ_Alpha_3,0.2580433797833474,0.12045609129761953,0.1554805207059159,-0.45594404315825054
DBC_Alpha_5,0.253346080911826,0.13772924497566075,0.1962805253974507,-0.5354325823255783
GLD_Alpha_0,0.25263268726819604,0.1109539111004494,0.1537713185369402,-0.4596009091102192
USO_Alpha_5,0.25016634173873015,0.2243584053757309,0.3304882396127532,-0.7957449743179605
IWM_Alpha_8,0.23794432113984812,0.11492004465909154,0.15919796094220504,-0.5192769500215
TLT_Alpha_17,0.2378109742991517,-0.03905047134869379,-0.013955430976948234,-0.14127402622762086
QQQ_Alpha_17,0.2361243608092118,0.03984428298160259,0.014355469366781531,-0.28039997731154565
IWM_Alpha_6,0.23392071735624032,0.15873690529160256,0.22328980834964438,-0.6552032908843134
SPY_Alpha_1,0.229141568309126,0.12390461272975065,0.16686175380253912,-0.5682626764117866
IWM_Alpha_16,0.22645628019862543,0.016850089387411667,0.007190898848013846,-0.2748034173691446
IWM_Alpha_15,0.2123358527999993,0.014335375103231188,0.007460096133430865,-0.31878775360440803
GLD_Alpha_12,0.2044417833116402,-0.014549107274935472,-0.013870477106726016,-0.2852581021545594
