feature,importance
EEM_Alpha_11,0.16745680895058346
VNQ_Alpha_14,0.16708155617656847
EFA_Alpha_8,0.16313768771394022
EFA_Alpha_0,0.16105454365857524
EFA_Alpha_10,0.1558666662420293
SPY_Alpha_8,0.15584269380176213
IWM_Alpha_10,0.15447428739298408
IWM_Alpha_13,0.15301832178050417
SPY_Alpha_15,0.15285163755709652
IWM_Alpha_14,0.15065030238106863
QQQ_Alpha_14,0.1502389008922785
USO_Alpha_0,0.14910029098753158
VNQ_Alpha_17,0.14345727801061733
SPY_Alpha_14,0.14116217288971936
IWM_Alpha_17,0.1409943780624265
SPY_Alpha_9,0.1391066836636208
SPY_Alpha_17,0.13308926122605705
EEM_Alpha_17,0.1327764829633497
SPY_Alpha_7,0.1305219173763944
QQQ_Alpha_16,0.12627853571394382
EEM_Alpha_5,0.11927153983432265
IWM_Alpha_1,0.11728328807252521
GLD_Alpha_6,0.10612742695500851
USO_Alpha_3,0.10579217871105065
EFA_Alpha_11,0.09983416909813927
USO_Alpha_1,0.09712675126523294
TLT_Alpha_10,0.09676227808740828
QQQ_Alpha_15,0.09359905186695743
EFA_Alpha_2,0.09173096232361924
EEM_Alpha_10,0.0892727492239542
USO_Alpha_4,0.08803968854319033
TLT_Alpha_16,0.08703479469292325
GLD_Alpha_2,0.08452892543147542
EEM_Alpha_2,0.08376973999600563
VNQ_Alpha_16,0.0739866057272282
VNQ_Alpha_1,0.06928186847078768
EFA_Alpha_4,0.06696760111223682
EEM_Alpha_14,0.06207159469441925
EEM_Alpha_13,0.05432386807802281
TLT_Alpha_15,0.05235085145540244
EEM_Alpha_15,0.05189516452548845
USO_Alpha_11,0.05111514251466791
EEM_Alpha_1,0.046634665285830934
EEM_Alpha_16,0.046252825390164426
QQQ_Alpha_0,0.044602795008510304
VNQ_Alpha_2,0.043614663146033614
QQQ_Alpha_10,0.042768140459877604
SPY_Alpha_12,0.03655112837342547
VNQ_Alpha_15,0.0354085571354576
IWM_Alpha_11,0.02098421312059262
IWM_Alpha_2,0.01681974156654109
EFA_Alpha_1,0.016518441202009196
QQQ_Alpha_1,0.01624773970990681
EEM_Alpha_4,0.015352551205994519
QQQ_Alpha_13,0.013437447912764716
SPY_Alpha_13,0.012510240649008963
EFA_Alpha_5,0.009001083137206947
EEM_Alpha_3,0.007036296759813598
VNQ_Alpha_5,0.005373551406103988
EFA_Alpha_7,-0.0023044176814347728
VNQ_Alpha_6,-0.005822503925530284
QQQ_Alpha_12,-0.006472820158661505
QQQ_Alpha_9,-0.01306305044967998
EFA_Alpha_12,-0.014712637709972554
